id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Letters,Maple Thread,folk,nostalgic,0.46,96,0.68,0.52,0.81
12,City Pulse Cipher,North Avenue,hip hop,confident,0.74,92,0.63,0.84,0.14
13,Velvet Tide,Blue Harbor,r&b,romantic,0.58,88,0.72,0.69,0.37
14,Neon Carnival,Prism Parade,house,euphoric,0.89,128,0.86,0.93,0.06
15,Iron Anthem,Black Forge,metal,rebellious,0.95,170,0.41,0.55,0.03
16,Dusty Highway,Cedar Run,country,wistful,0.49,104,0.57,0.61,0.64
17,Roots in Motion,Island Lantern,reggae,uplifted,0.67,82,0.79,0.77,0.48
18,Moonlit Nocturne,Aster Vale,classical,serene,0.22,66,0.62,0.28,0.96
